model_id,auc,logloss,mean_per_class_error,rmse,mse
GBM_grid_1_AutoML_20190426_004723_model_1,0.6842508346604202,0.4371273847461506,0.473413694742253,0.3687679110252453,0.13598977220192324
GBM_grid_1_AutoML_20190426_004723_model_21,0.6830169918594973,0.43347854548799103,0.4785601775453277,0.3670613287852935,0.1347340190896253
GBM_grid_1_AutoML_20190426_004723_model_47,0.6828239095838947,0.43612151065452376,0.4803332683784474,0.3674537428453209,0.13502225313103522
GBM_grid_1_AutoML_20190426_004723_model_27,0.681540453262351,0.4454137630710891,0.4760702813509952,0.3726990254499732,0.13890456357135975
GBM_grid_1_AutoML_20190426_004723_model_56,0.6808153456441393,0.4362753476101076,0.4739558526744274,0.3683696713350294,0.13569621475947755
XRT_1_AutoML_20190426_004723,0.6804016343138124,0.4379052556837507,0.4705331033756106,0.3681416820619582,0.13552829807140787
GBM_grid_1_AutoML_20190426_004723_model_32,0.680194439571321,0.4657693235472707,0.4718026088913753,0.3813872424516238,0.1454562287048537
GBM_grid_1_AutoML_20190426_004723_model_3,0.6799313813252998,0.437317578778058,0.4736367295334938,0.36793699016704173,0.13537762873318185
GBM_grid_1_AutoML_20190426_004723_model_9,0.6792257963411202,0.4385520618969542,0.4766503255232769,0.3694499102560759,0.1364932361882225
GBM_grid_1_AutoML_20190426_004723_model_8,0.678778337569101,0.4657464706269011,0.4739710392286904,0.3813779453640945,0.14544913721013825
GBM_grid_1_AutoML_20190426_004723_model_45,0.6784998845273873,0.4354447543867701,0.4710659315437317,0.3677562829631406,0.1352446836588656
GBM_grid_1_AutoML_20190426_004723_model_17,0.677674431940259,0.4657015446293632,0.4764270482403711,0.38136080884623896,0.14543606652385765
GBM_grid_1_AutoML_20190426_004723_model_15,0.6768829638064504,0.4400604598582436,0.4798130826571227,0.3701676649118751,0.13702410014631025
DRF_1_AutoML_20190426_004723,0.6768251288593857,0.4688489456080289,0.4733227357077755,0.36863061859531104,0.13588853296596168
GBM_grid_1_AutoML_20190426_004723_model_19,0.6766323137356173,0.4369927403301947,0.4740975417871912,0.3686226981756602,0.13588269361030386
GBM_grid_1_AutoML_20190426_004723_model_2,0.6762876029290122,0.4362716838067704,0.4758175598259407,0.3684003991134229,0.1357188540669293
GBM_grid_1_AutoML_20190426_004723_model_18,0.6757932720251932,0.4363641150341171,0.4899655716088326,0.3683259380931509,0.13566399667219964
GBM_grid_1_AutoML_20190426_004723_model_39,0.6752693448081813,0.4395072446594347,0.4795161742187038,0.369877180644361,0.13680912876142126
GBM_grid_1_AutoML_20190426_004723_model_40,0.6744913548269067,0.4383727937943656,0.47768883923317207,0.3686990706972728,0.13593900473303253
GBM_grid_1_AutoML_20190426_004723_model_62,0.6738614601223772,0.4651810499181313,0.4763620604741989,0.3811563638149654,0.14528017367664628
GBM_grid_1_AutoML_20190426_004723_model_10,0.6732216807999849,0.440141351096998,0.4793415267896654,0.3690844317916165,0.13622331779094046
GBM_grid_1_AutoML_20190426_004723_model_43,0.6707600684498347,0.4398770073183937,0.4807798229442588,0.3694203587263553,0.13647140144150904
GBM_grid_1_AutoML_20190426_004723_model_29,0.670704657049409,0.4398984197454732,0.4836952303599301,0.370156256182983,0.13701565399140211
GBM_grid_1_AutoML_20190426_004723_model_6,0.6688903070130251,0.4661495784336056,0.4876711236963463,0.3815352102716136,0.14556911667700442
GBM_grid_1_AutoML_20190426_004723_model_22,0.6682151458277193,0.44363096391278617,0.4829363383097719,0.3706462327633439,0.13737862986165889
GBM_grid_1_AutoML_20190426_004723_model_37,0.6674923124251211,0.4420734859966181,0.4820801865518791,0.37035442054829537,0.13716239681966366
GBM_grid_1_AutoML_20190426_004723_model_38,0.6674150137544287,0.4409968006058677,0.4846498131835994,0.370494731297159,0.13726634591895398
GBM_1_AutoML_20190426_004723,0.6637919855206007,0.4473094038650981,0.4885957772945371,0.3719646060795628,0.13835766817592435
GBM_2_AutoML_20190426_004723,0.6630719894074818,0.4470927163531424,0.4835736557252619,0.371775469568568,0.1382169997729292
GBM_grid_1_AutoML_20190426_004723_model_12,0.6618622738422038,0.46493707357951003,0.4850163948203583,0.38106019847301736,0.14520687486029538
GBM_5_AutoML_20190426_004723,0.6613914838100042,0.4506962797731768,0.4866723539593127,0.3724222755816399,0.13869835134940695
GBM_grid_1_AutoML_20190426_004723_model_46,0.6611370223730044,0.4655323541000714,0.4807314355820563,0.3812923412079632,0.14538384946384986
GBM_grid_1_AutoML_20190426_004723_model_50,0.6610661024661051,0.4546268782563285,0.4762659721245063,0.3726626090898084,0.13887742021362334
GBM_3_AutoML_20190426_004723,0.6555931697117948,0.4523726002626041,0.4887968398749282,0.37336996294534797,0.13940512922981055
GBM_grid_1_AutoML_20190426_004723_model_41,0.6551189272558926,0.4433695593199331,0.4939681225882662,0.37147956853014347,0.13799706983534155
GBM_grid_1_AutoML_20190426_004723_model_60,0.6548564608539348,0.44716008709000543,0.4897060644271912,0.3733760630897658,0.13940968448841276
GBM_grid_1_AutoML_20190426_004723_model_49,0.6547232137391295,0.4650507075720362,0.4905325294512703,0.3811028528050592,0.1452393844161547
GBM_grid_1_AutoML_20190426_004723_model_25,0.6533070637865802,0.4532033884495,0.4857070275218833,0.3738177561515651,0.13973971481419098
GBM_4_AutoML_20190426_004723,0.6528286729421975,0.4573593775237277,0.489654162990863,0.3745983642639033,0.14032393450919195
GBM_grid_1_AutoML_20190426_004723_model_26,0.652302626320635,0.4548883451899171,0.4865278782474176,0.3743855638652397,0.14016455043069345
GBM_grid_1_AutoML_20190426_004723_model_30,0.6514652436916012,0.4642223508647867,0.4834422663432108,0.3755269998186184,0.14102052759277264
GBM_grid_1_AutoML_20190426_004723_model_61,0.6484706223320882,0.4486448886322043,0.4927937765558171,0.37394332264357105,0.13983360854971386
GBM_grid_1_AutoML_20190426_004723_model_7,0.6475041628968803,0.4926846622160618,0.4948651896770624,0.3869527059448311,0.14973239663802687
GBM_grid_1_AutoML_20190426_004723_model_44,0.6457365712815154,0.4970729840087787,0.4933880784159846,0.3813343130379624,0.14541585830013468
GBM_grid_1_AutoML_20190426_004723_model_57,0.6412522359444008,0.4651058449418881,0.4943693188826714,0.3811219991449281,0.14525397823222655
GBM_grid_1_AutoML_20190426_004723_model_13,0.6338612722118872,0.5276725508621274,0.4930259397197286,0.3943777407496481,0.15553380239879666
GBM_grid_1_AutoML_20190426_004723_model_14,0.6273491188228283,0.5583450986700453,0.4922270612050442,0.4014231051499917,0.16114050934826127
GBM_grid_1_AutoML_20190426_004723_model_28,0.6247517686807729,0.5826537605830038,0.4925585843011093,0.3983638829123496,0.15869378320900415
GBM_grid_1_AutoML_20190426_004723_model_35,0.6150651199172795,0.7564796340393991,0.49426644487639204,0.4100317442623927,0.16812603130286025
GBM_grid_1_AutoML_20190426_004723_model_51,0.6141082546579402,0.5666839647554751,0.4950840240194652,0.4009364135667077,0.16075000772373407
GBM_grid_1_AutoML_20190426_004723_model_48,0.6114772091345497,0.6496130422981565,0.5,0.4141584787035415,0.17152724548203185
GBM_grid_1_AutoML_20190426_004723_model_58,0.6095025145673236,0.6649822786141292,0.5,0.4210171940026685,0.17725547764588054
GBM_grid_1_AutoML_20190426_004723_model_11,0.595355954994402,0.7130663040811459,0.5,0.4191964554100772,0.17572566822837285
